experiment_id,target_id,target_column,model_id,model_label,combination_id,branches,branch_count,feature_count,oof_folds,rows,groups,records,complete_case_rows,balanced_accuracy_group_bootstrap_ci_low,balanced_accuracy_group_bootstrap_ci_high,class_0,class_1,prevalence,accuracy,balanced_accuracy,f1,precision,npv,recall_sensitivity,specificity,false_positive_rate,false_negative_rate,mcc,tn,fp,fn,tp,errors,roc_auc,average_precision,group_macro_accuracy,group_macro_sensitivity,group_macro_specificity,group_macro_balanced_accuracy,groups_with_positive_cases,groups_with_negative_cases,rank_within_target
signal_unusable__B4__linear_svm,signal_unusable,target_signal_unusable_binary,linear_svm,Linear support-vector machine,B4,B4,1,8,5,4877,15,18,4667,0.7763212044277471,0.9642927293783142,4221,656,0.1345089194176748,0.9272093500102522,0.8742621821207551,0.7476901208244492,0.7003994673768309,0.9684924866698982,0.801829268292683,0.9466950959488273,0.053304904051172705,0.19817073170731708,0.707588810432365,3996,225,130,526,355,0.9631266215380704,0.8556545554629067,0.9080232160823396,0.8270491238521929,0.9344111413866182,0.8807301326194055,7,15,62
signal_unusable__B3__linear_svm,signal_unusable,target_signal_unusable_binary,linear_svm,Linear support-vector machine,B3,B3,1,13,5,4877,15,18,3739,0.7913268924177878,0.9629152829101163,4221,656,0.1345089194176748,0.8948123846627025,0.883870788334749,0.6896551724137931,0.571715145436309,0.9778350515463917,0.8689024390243902,0.8988391376451078,0.1011608623548922,0.13109756097560976,0.6495479464139132,3794,427,86,570,513,0.9429007329785452,0.8229260106579701,0.8813221925487641,0.8469996718532319,0.8985633342867493,0.8727815030699906,7,15,63
signal_unusable__B1+B3__linear_svm,signal_unusable,target_signal_unusable_binary,linear_svm,Linear support-vector machine,B1+B3,B1+B3,2,28,5,4877,15,18,1872,0.8091470120788797,0.9750389273339383,4221,656,0.1345089194176748,0.9479188025425467,0.9074695844239893,0.814868804664723,0.7807262569832403,0.9766882960826724,0.8521341463414634,0.962805022506515,0.03719497749348496,0.14786585365853658,0.7856505497668145,4064,157,97,559,254,0.980904854357712,0.9304239024237623,0.9356131129753755,0.7819719407830951,0.9585798181846243,0.8702758794838596,7,15,64
signal_unusable__B3__random_forest,signal_unusable,target_signal_unusable_binary,random_forest,Random forest,B3,B3,1,13,5,4877,15,18,3739,0.8230337004561632,0.9680320653113459,4221,656,0.1345089194176748,0.909370514660652,0.9019372143348299,0.7258064516129032,0.6119246861924686,0.9818923743942872,0.8917682926829268,0.912106135986733,0.087893864013267,0.10823170731707317,0.6909083516020595,3850,371,71,585,442,0.9593918473832925,0.7547033009454002,0.8892134524219384,0.832170459274246,0.9037735128258558,0.867971986050051,7,15,65
signal_unusable__B3+B4__linear_svm,signal_unusable,target_signal_unusable_binary,linear_svm,Linear support-vector machine,B3+B4,B3+B4,2,21,5,4877,15,18,3669,0.7437255285951924,0.9933350034902141,4221,656,0.1345089194176748,0.9499692433873282,0.888698204679275,0.8123076923076923,0.8198757763975155,0.9697613985353177,0.8048780487804879,0.9725183605780621,0.027481639421937928,0.1951219512195122,0.7834928873249671,4105,116,128,528,244,0.9598860734076424,0.8989961551584177,0.9335949969437257,0.7657685212033039,0.9634472049689441,0.864607863086124,7,15,66
signal_unusable__B3__extra_trees,signal_unusable,target_signal_unusable_binary,extra_trees,Extremely randomized trees,B3,B3,1,13,5,4877,15,18,3739,0.8203303220010748,0.9702352760905204,4221,656,0.1345089194176748,0.8933770760713553,0.9075037125637782,0.7004608294930875,0.562962962962963,0.9873584408743745,0.926829268292683,0.8881781568348732,0.11182184316512675,0.07317073170731707,0.6697133941725001,3749,472,48,608,520,0.9619061342532402,0.7169395536812807,0.8719972322330748,0.8380671455706519,0.883322598846521,0.8606948722085864,7,15,67
signal_unusable__B1+B4__random_forest,signal_unusable,target_signal_unusable_binary,random_forest,Random forest,B1+B4,B1+B4,2,23,5,4877,15,18,2555,0.5889793737479697,0.9696130263867825,4221,656,0.1345089194176748,0.8599548903014148,0.7909907850411126,0.5723231058234189,0.485653560042508,0.9494410569105691,0.6966463414634146,0.8853352286188108,0.11466477138118929,0.30335365853658536,0.5032067649671218,3737,484,199,457,683,0.9328713936126569,0.6394943424120199,0.8371275196409234,0.843136833482102,0.8781885395327865,0.8606626865074443,7,15,68
signal_unusable__B1+B3__random_forest,signal_unusable,target_signal_unusable_binary,random_forest,Random forest,B1+B3,B1+B3,2,28,5,4877,15,18,1872,0.6628276117507629,0.9746813641945474,4221,656,0.1345089194176748,0.8812794750871438,0.8342096500655838,0.6356198867212083,0.5412647374062165,0.9617139959432048,0.7698170731707317,0.8986022269604359,0.10139777303956408,0.2301829268292683,0.5798281581005543,3793,428,151,505,579,0.9340543218865025,0.6583813785803754,0.8557379243048092,0.831004958108745,0.8891584479325833,0.8600817030206641,7,15,69
signal_unusable__B3__hist_gradient_boosting,signal_unusable,target_signal_unusable_binary,hist_gradient_boosting,Histogram gradient boosting,B3,B3,1,13,5,4877,15,18,3739,0.8086716042484912,0.9653373633904933,4221,656,0.1345089194176748,0.9108058232519992,0.8989039630534899,0.7269303201506592,0.6179295624332978,0.9804568527918782,0.8826219512195121,0.9151859748874674,0.08481402511253258,0.1173780487804878,0.690939523360321,3863,358,77,579,435,0.9587901809188667,0.7108551240300487,0.8905672082287783,0.8037186632908934,0.9076353386937467,0.85567700099232,7,15,70
signal_unusable__B3__logistic_regression,signal_unusable,target_signal_unusable_binary,logistic_regression,Regularized logistic regression,B3,B3,1,13,5,4877,15,18,3739,0.7617287569348736,0.9546761776692391,4221,656,0.1345089194176748,0.8909165470576174,0.8726077799157522,0.6763990267639902,0.562753036437247,0.9742864489586012,0.8475609756097561,0.8976545842217484,0.1023454157782516,0.1524390243902439,0.6326216726930007,3789,432,100,556,532,0.9493020163410588,0.8359808885911413,0.877393849671724,0.7819396949646105,0.8983132644355121,0.8401264797000613,7,15,71
signal_unusable__B1+B3__extra_trees,signal_unusable,target_signal_unusable_binary,extra_trees,Extremely randomized trees,B1+B3,B1+B3,2,28,5,4877,15,18,1872,0.6176990001626077,0.9711433178142682,4221,656,0.1345089194176748,0.875333196637277,0.8198308688843818,0.6161616161616161,0.5258620689655172,0.9574575841985312,0.7439024390243902,0.8957592987443733,0.10424070125562662,0.25609756097560976,0.5560225618090613,3781,440,168,488,608,0.9311801546853422,0.5755540202954509,0.8473409091065681,0.7317578206428136,0.8866737792668912,0.8092157999548524,7,15,72
signal_unusable__B1__hist_gradient_boosting,signal_unusable,target_signal_unusable_binary,hist_gradient_boosting,Histogram gradient boosting,B1,B1,1,15,5,4877,15,18,2555,0.612609801952496,0.8469060842549803,4221,656,0.1345089194176748,0.7721960221447611,0.7396481587417153,0.45081562036579337,0.3335771762984638,0.9430199430199431,0.6951219512195121,0.7841743662639185,0.2158256337360815,0.3048780487804878,0.3641043541566586,3310,911,200,456,1111,0.8176062197722189,0.32253343543809754,0.7561197800830083,0.7897016823920545,0.764980896544427,0.7773412894682408,7,15,73
signal_unusable__B1__extra_trees,signal_unusable,target_signal_unusable_binary,extra_trees,Extremely randomized trees,B1,B1,1,15,5,4877,15,18,2555,0.5407174010379843,0.8592320742878302,4221,656,0.1345089194176748,0.7863440639737543,0.7227157259578992,0.4445628997867804,0.3418032786885246,0.9346458846048674,0.635670731707317,0.8097607202084814,0.19023927979151858,0.3643292682926829,0.3509118866420504,3418,803,239,417,1042,0.8229163055223303,0.3594223092788231,0.7701975554830839,0.7429310402497434,0.787267474142303,0.7650992571960232,7,15,74
