target_id,dataset_key,record_id,subject_id,lineage_group_id,rows,class_0,class_1,prevalence,accuracy,balanced_accuracy,f1,precision,npv,recall_sensitivity,specificity,false_positive_rate,false_negative_rate,mcc,tn,fp,fn,tp,errors,roc_auc,average_precision,mean_available_features
abnormal_beat,mitdb,100,mitdb_100,mitdb:100,217,211,6,0.027649769585253458,0.9769585253456221,0.5833333333333334,0.2857142857142857,1.0,0.9768518518518519,0.16666666666666666,1.0,0.0,0.8333333333333334,0.403495529064832,211,0,5,1,5,0.8957345971563981,0.6244260789715335,45.68663594470046
abnormal_beat,mitdb,101,mitdb_101,mitdb:101,187,186,1,0.0053475935828877,0.9946524064171123,0.5,0.0,,0.9946524064171123,0.0,1.0,0.0,1.0,,186,0,1,0,1,1.0,1.0,44.75935828877005
abnormal_beat,mitdb,102,mitdb_102,mitdb:102,212,1,211,0.9952830188679245,0.6273584905660378,0.8127962085308057,0.7696793002915452,1.0,0.0125,0.6255924170616114,1.0,0.0,0.3744075829383886,0.08843022793858524,1,0,79,132,79,0.6398104265402843,0.9979022935534932,45.68867924528302
abnormal_beat,mitdb,103,mitdb_103,mitdb:103,210,209,1,0.004761904761904762,0.9952380952380953,0.5,0.0,,0.9952380952380953,0.0,1.0,0.0,1.0,,209,0,1,0,1,0.8947368421052632,0.043478260869565216,45.266666666666666
abnormal_beat,mitdb,104,mitdb_104,mitdb:104,214,50,164,0.7663551401869159,0.5046728971962616,0.6698780487804878,0.5267857142857143,0.9833333333333333,0.3181818181818182,0.3597560975609756,0.98,0.02,0.6402439024390244,0.3200650109497977,49,1,105,59,106,0.8389024390243902,0.9402325316053897,45.61682242990654
abnormal_beat,mitdb,105,mitdb_105,mitdb:105,249,244,5,0.020080321285140562,0.8955823293172691,0.8487704918032788,0.23529411764705882,0.13793103448275862,0.9954545454545455,0.8,0.8975409836065574,0.10245901639344263,0.2,0.3050277178034779,219,25,1,4,26,0.930327868852459,0.47965367965367967,44.86746987951807
abnormal_beat,mitdb,106,mitdb_106,mitdb:106,234,120,114,0.48717948717948717,0.9829059829059829,0.9826754385964913,0.9823008849557522,0.9910714285714286,0.9754098360655737,0.9736842105263158,0.9916666666666667,0.008333333333333333,0.02631578947368421,0.9659159055569554,119,1,3,111,4,0.9984649122807018,0.9982397442710277,38.65384615384615
abnormal_beat,mitdb,107,mitdb_107,mitdb:107,210,0,210,1.0,0.9095238095238095,,0.9526184538653366,1.0,0.0,0.9095238095238095,,,0.09047619047619047,,0,0,19,191,19,,1.0,45.00952380952381
abnormal_beat,mitdb,108,mitdb_108,mitdb:108,164,162,2,0.012195121951219513,0.31097560975609756,0.6512345679012346,0.03418803418803419,0.017391304347826087,1.0,1.0,0.30246913580246915,0.6975308641975309,0.0,0.0725281517520244,49,113,0,2,113,0.8148148148148149,0.1419491525423729,43.6280487804878
abnormal_beat,mitdb,109,mitdb_109,mitdb:109,258,252,6,0.023255813953488372,0.9263565891472868,0.7996031746031746,0.2962962962962963,0.19047619047619047,0.9915611814345991,0.6666666666666666,0.9325396825396826,0.06746031746031746,0.3333333333333333,0.33026950970651636,235,17,2,4,19,0.8604497354497355,0.5914200140944327,41.47286821705426
abnormal_beat,mitdb,111,mitdb_111,mitdb:111,216,216,0,0.0,0.5833333333333334,,0.0,0.0,1.0,,0.5833333333333334,0.4166666666666667,,,126,90,0,0,90,,,45.69444444444444
abnormal_beat,mitdb,112,mitdb_112,mitdb:112,258,257,1,0.003875968992248062,0.9922480620155039,0.9961089494163424,0.5,0.3333333333333333,1.0,1.0,0.9922178988326849,0.007782101167315175,0.0,0.5750993823774244,255,2,0,1,2,1.0,1.0,46.62403100775194
abnormal_beat,mitdb,113,mitdb_113,mitdb:113,172,169,3,0.01744186046511628,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,169,0,0,3,0,1.0,1.0,36.901162790697676
abnormal_beat,mitdb,114,mitdb_114,mitdb:114,179,169,10,0.055865921787709494,0.9720670391061452,0.7970414201183431,0.7058823529411765,0.8571428571428571,0.9767441860465116,0.6,0.9940828402366864,0.005917159763313609,0.4,0.703845141387303,168,1,4,6,5,0.8976331360946745,0.6839499759499759,44.13966480446928
abnormal_beat,mitdb,115,mitdb_115,mitdb:115,202,202,0,0.0,0.7871287128712872,,0.0,0.0,1.0,,0.7871287128712872,0.21287128712871287,,,159,43,0,0,43,,,45.193069306930695
abnormal_beat,mitdb,116,mitdb_116,mitdb:116,232,208,24,0.10344827586206896,0.9956896551724138,0.9975961538461539,0.9795918367346939,0.96,1.0,1.0,0.9951923076923077,0.004807692307692308,0.0,0.9774377808252632,207,1,0,24,1,1.0,0.9999999999999999,45.71551724137931
abnormal_beat,mitdb,117,mitdb_117,mitdb:117,153,152,1,0.006535947712418301,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,152,0,0,1,0,1.0,1.0,43.052287581699346
abnormal_beat,mitdb,118,mitdb_118,mitdb:118,252,240,12,0.047619047619047616,0.9682539682539683,0.825,0.6666666666666666,0.6666666666666666,0.9833333333333333,0.6666666666666666,0.9833333333333333,0.016666666666666666,0.3333333333333333,0.65,236,4,4,8,8,0.9576388888888889,0.6745203588681851,46.56349206349206
abnormal_beat,mitdb,119,mitdb_119,mitdb:119,201,140,61,0.3034825870646766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,140,0,0,61,0,1.0,1.0,40.40298507462686
abnormal_beat,mitdb,121,mitdb_121,mitdb:121,212,212,0,0.0,0.9481132075471698,,0.0,0.0,1.0,,0.9481132075471698,0.05188679245283019,,,201,11,0,0,11,,,45.5
abnormal_beat,mitdb,122,mitdb_122,mitdb:122,254,254,0,0.0,1.0,,0.0,,1.0,,1.0,0.0,,,254,0,0,0,0,,,46.50787401574803
abnormal_beat,mitdb,123,mitdb_123,mitdb:123,152,151,1,0.006578947368421052,0.993421052631579,0.9966887417218543,0.6666666666666666,0.5,1.0,1.0,0.9933774834437086,0.006622516556291391,0.0,0.7047614786024093,150,1,0,1,1,1.0,1.0,43.13157894736842
abnormal_beat,mitdb,124,mitdb_124,mitdb:124,138,106,32,0.2318840579710145,0.7608695652173914,0.49528301886792453,0.0,0.0,0.7664233576642335,0.0,0.9905660377358491,0.009433962264150943,1.0,-0.046942019871142125,105,1,32,0,33,0.9230542452830188,0.7259121840497949,42.289855072463766
abnormal_beat,mitdb,200,mitdb_200,mitdb:200,256,137,119,0.46484375,0.98828125,0.9879470036189658,0.9873417721518988,0.9915254237288136,0.9855072463768116,0.9831932773109243,0.9927007299270073,0.0072992700729927005,0.01680672268907563,0.9764631726961107,136,1,2,117,3,0.9990185855364043,0.9989587412214489,42.96875
abnormal_beat,mitdb,201,mitdb_201,mitdb:201,185,124,61,0.32972972972972975,0.8324324324324325,0.829190904283448,0.7633587786259542,0.7142857142857143,0.9043478260869565,0.819672131147541,0.8387096774193549,0.16129032258064516,0.18032786885245902,0.6381982992383329,104,20,11,50,31,0.904151242728715,0.8627852569841863,39.972972972972975
abnormal_beat,mitdb,202,mitdb_202,mitdb:202,271,241,30,0.11070110701107011,0.6014760147601476,0.7175656984785616,0.325,0.2,0.9716312056737588,0.8666666666666667,0.5684647302904564,0.4315352697095436,0.13333333333333333,0.27328030716877133,137,104,4,26,108,0.821161825726141,0.5452922055898929,38.92988929889299
abnormal_beat,mitdb,203,mitdb_203,mitdb:203,254,232,22,0.08661417322834646,0.6653543307086615,0.7550940438871474,0.3089430894308943,0.18811881188118812,0.9803921568627451,0.8636363636363636,0.646551724137931,0.35344827586206895,0.13636363636363635,0.29321031515357915,150,82,3,19,85,0.79173197492163,0.19059388771308833,41.523622047244096
abnormal_beat,mitdb,205,mitdb_205,mitdb:205,260,257,3,0.011538461538461539,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,257,0,0,3,0,1.0,1.0,46.6
abnormal_beat,mitdb,207,mitdb_207,mitdb:207,103,0,103,1.0,0.34951456310679613,,0.5179856115107914,1.0,0.0,0.34951456310679613,,,0.6504854368932039,,0,0,67,36,67,,1.0,39.74757281553398
abnormal_beat,mitdb,208,mitdb_208,mitdb:208,277,135,142,0.5126353790613718,0.8916967509025271,0.8938184663536777,0.8846153846153846,0.9745762711864406,0.8301886792452831,0.8098591549295775,0.9777777777777777,0.022222222222222223,0.19014084507042253,0.7961548826129434,132,3,27,115,30,0.974282733437663,0.9790944211390157,43.7870036101083
abnormal_beat,mitdb,209,mitdb_209,mitdb:209,336,194,142,0.4226190476190476,0.6011904761904762,0.528169014084507,0.10666666666666667,1.0,0.5914634146341463,0.056338028169014086,1.0,0.0,0.9436619718309859,0.18254282378280387,194,0,134,8,134,0.9862784957165674,0.9794039155794809,43.413690476190474
abnormal_beat,mitdb,210,mitdb_210,mitdb:210,246,222,24,0.0975609756097561,0.9227642276422764,0.8643018018018018,0.6666666666666666,0.5757575757575758,0.9765258215962441,0.7916666666666666,0.9369369369369369,0.06306306306306306,0.20833333333333334,0.6343466509113405,208,14,5,19,19,0.8776276276276276,0.7420956746330271,42.34146341463415
abnormal_beat,mitdb,212,mitdb_212,mitdb:212,278,278,0,0.0,0.9496402877697842,,0.0,0.0,1.0,,0.9496402877697842,0.050359712230215826,,,264,14,0,0,14,,,46.95323741007194
abnormal_beat,mitdb,213,mitdb_213,mitdb:213,326,243,83,0.254601226993865,0.803680981595092,0.8048490257325599,0.6767676767676768,0.5826086956521739,0.9241706161137441,0.8072289156626506,0.8024691358024691,0.19753086419753085,0.1927710843373494,0.555861816377519,195,48,16,67,64,0.8726263076999354,0.8405247061074156,44.122699386503065
